id,agent,event_type,message,details,timestamp,related_entity,status
1,JDIntakeAgent,escalated,JDIntakeAgent processed drive 1 (Data Analyst @ company 3),"{""drive_id"": 1, ""role"": ""Data Analyst""}",2026-08-05T20:58:27.457415,job_drive:1,success
2,EligibilityAgent,flagged,EligibilityAgent processed drive 1 (Data Analyst @ company 3),"{""drive_id"": 1, ""role"": ""Data Analyst""}",2026-08-17T03:58:27.457431,job_drive:1,success
3,MatchingAgent,flagged,MatchingAgent processed drive 1 (Data Analyst @ company 3),"{""drive_id"": 1, ""role"": ""Data Analyst""}",2026-08-08T08:58:27.457442,job_drive:1,success
4,SchedulingAgent,flagged,SchedulingAgent processed drive 1 (Data Analyst @ company 3),"{""drive_id"": 1, ""role"": ""Data Analyst""}",2026-08-07T02:58:27.457449,job_drive:1,success
5,CoordinationAgent,completed,CoordinationAgent processed drive 1 (Data Analyst @ company 3),"{""drive_id"": 1, ""role"": ""Data Analyst""}",2026-08-05T16:58:27.457456,job_drive:1,success
6,NotificationAgent,flagged,NotificationAgent processed drive 1 (Data Analyst @ company 3),"{""drive_id"": 1, ""role"": ""Data Analyst""}",2026-08-08T11:58:27.457463,job_drive:1,success
7,AnalyticsAgent,completed,AnalyticsAgent processed drive 1 (Data Analyst @ company 3),"{""drive_id"": 1, ""role"": ""Data Analyst""}",2026-08-11T02:58:27.457471,job_drive:1,success
8,ReportingAgent,escalated,ReportingAgent processed drive 1 (Data Analyst @ company 3),"{""drive_id"": 1, ""role"": ""Data Analyst""}",2026-08-16T12:58:27.457477,job_drive:1,success
9,ExceptionAgent,completed,ExceptionAgent processed drive 1 (Data Analyst @ company 3),"{""drive_id"": 1, ""role"": ""Data Analyst""}",2026-08-10T20:58:27.457483,job_drive:1,success
10,JDIntakeAgent,completed,JDIntakeAgent processed drive 2 (Data Analyst @ company 7),"{""drive_id"": 2, ""role"": ""Data Analyst""}",2026-08-17T07:58:27.457489,job_drive:2,success
11,EligibilityAgent,escalated,EligibilityAgent processed drive 2 (Data Analyst @ company 7),"{""drive_id"": 2, ""role"": ""Data Analyst""}",2026-08-19T00:58:27.457496,job_drive:2,success
12,MatchingAgent,started,MatchingAgent processed drive 2 (Data Analyst @ company 7),"{""drive_id"": 2, ""role"": ""Data Analyst""}",2026-08-17T19:58:27.457502,job_drive:2,success
13,SchedulingAgent,completed,SchedulingAgent processed drive 2 (Data Analyst @ company 7),"{""drive_id"": 2, ""role"": ""Data Analyst""}",2026-08-13T16:58:27.457510,job_drive:2,success
14,CoordinationAgent,flagged,CoordinationAgent processed drive 2 (Data Analyst @ company 7),"{""drive_id"": 2, ""role"": ""Data Analyst""}",2026-08-06T10:58:27.457516,job_drive:2,success
15,NotificationAgent,flagged,NotificationAgent processed drive 2 (Data Analyst @ company 7),"{""drive_id"": 2, ""role"": ""Data Analyst""}",2026-08-08T21:58:27.457522,job_drive:2,success
16,AnalyticsAgent,escalated,AnalyticsAgent processed drive 2 (Data Analyst @ company 7),"{""drive_id"": 2, ""role"": ""Data Analyst""}",2026-08-13T19:58:27.457529,job_drive:2,success
