id,drive_id,student_id,is_eligible,reason,status
1,1,1,False,Branch ECE not in allowed list,Excluded
2,1,2,True,Meets all eligibility criteria,Eligible
3,1,3,False,CGPA 5.64 below cutoff 7.01,Excluded
4,1,4,False,Branch CIVIL not in allowed list,Excluded
5,1,5,True,Meets all eligibility criteria,Eligible
6,1,6,False,Branch ECE not in allowed list; Has a prior offer; drive excludes already-placed students,Excluded
7,1,7,False,CGPA 5.94 below cutoff 7.01,Excluded
8,1,8,True,Meets all eligibility criteria,Eligible
9,1,9,False,Branch ECE not in allowed list,Excluded
10,1,10,False,CGPA 5.81 below cutoff 7.01; Branch ECE not in allowed list,Excluded
11,1,11,True,Meets all eligibility criteria,Eligible
12,1,12,False,CGPA 6.23 below cutoff 7.01; Branch CIVIL not in allowed list,Excluded
13,1,13,False,Branch CIVIL not in allowed list,Excluded
14,1,14,False,CGPA 6.6 below cutoff 7.01; Branch ECE not in allowed list,Excluded
15,1,15,False,CGPA 6.49 below cutoff 7.01,Excluded
16,1,16,True,Meets all eligibility criteria,Eligible
17,1,17,True,Meets all eligibility criteria,Eligible
18,1,18,True,Meets all eligibility criteria,Eligible
19,1,19,False,Branch CIVIL not in allowed list,Excluded
20,1,20,True,Meets all eligibility criteria,Eligible
21,1,21,True,Meets all eligibility criteria,Eligible
22,1,22,True,Meets all eligibility criteria,Eligible
23,1,23,True,Meets all eligibility criteria,Eligible
24,1,24,False,CGPA 6.02 below cutoff 7.01; Branch ECE not in allowed list; 2 backlogs exceeds max 1,Excluded
25,1,25,False,CGPA 6.82 below cutoff 7.01,Excluded
26,1,26,False,CGPA 6.69 below cutoff 7.01,Excluded
27,1,27,False,Branch CIVIL not in allowed list,Excluded
28,1,28,False,CGPA 6.19 below cutoff 7.01,Excluded
29,1,29,True,Meets all eligibility criteria,Eligible
30,1,30,True,Meets all eligibility criteria,Eligible
31,1,31,True,Meets all eligibility criteria,Eligible
32,1,32,False,Branch CIVIL not in allowed list,Excluded
33,1,33,False,CGPA 6.24 below cutoff 7.01,Excluded
34,1,34,False,Branch CIVIL not in allowed list,Excluded
35,1,35,False,Branch ECE not in allowed list,Excluded
36,1,36,False,Has a prior offer; drive excludes already-placed students,Excluded
37,1,37,True,Meets all eligibility criteria,Eligible
38,1,38,False,CGPA 5.76 below cutoff 7.01; Has a prior offer; drive excludes already-placed students,Excluded
39,1,39,False,CGPA 6.57 below cutoff 7.01,Excluded
40,1,40,True,Meets all eligibility criteria,Eligible
41,1,41,True,Meets all eligibility criteria,Eligible
42,1,42,False,Branch CIVIL not in allowed list,Excluded
43,1,43,True,Meets all eligibility criteria,Eligible
44,1,44,True,Meets all eligibility criteria,Eligible
45,1,45,True,Meets all eligibility criteria,Eligible
46,1,46,True,Meets all eligibility criteria,Eligible
47,1,47,False,3 backlogs exceeds max 1,Excluded
48,1,48,True,Meets all eligibility criteria,Eligible
49,1,49,True,Meets all eligibility criteria,Eligible
50,1,50,False,3 backlogs exceeds max 1,Excluded
51,1,51,False,CGPA 6.2 below cutoff 7.01,Excluded
52,1,52,False,CGPA 5.77 below cutoff 7.01,Excluded
53,1,53,False,Has a prior offer; drive excludes already-placed students,Excluded
54,1,54,False,CGPA 6.34 below cutoff 7.01; Branch CIVIL not in allowed list,Excluded
55,1,55,False,Has a prior offer; drive excludes already-placed students,Excluded
56,1,56,False,CGPA 5.87 below cutoff 7.01,Excluded
57,1,57,False,CGPA 6.67 below cutoff 7.01; Branch ECE not in allowed list,Excluded
58,1,58,False,CGPA 6.09 below cutoff 7.01,Excluded
59,1,59,True,Meets all eligibility criteria,Eligible
60,1,60,False,CGPA 5.83 below cutoff 7.01; Branch ECE not in allowed list,Excluded
61,1,61,False,Branch ECE not in allowed list,Excluded
62,1,62,True,Meets all eligibility criteria,Eligible
63,1,63,False,Branch CIVIL not in allowed list,Excluded
64,1,64,False,CGPA 6.1 below cutoff 7.01,Excluded
65,1,65,False,CGPA 6.73 below cutoff 7.01; Branch CIVIL not in allowed list,Excluded
66,1,66,True,Meets all eligibility criteria,Eligible
67,1,67,False,Has a prior offer; drive excludes already-placed students,Excluded
68,1,68,False,CGPA 7.0 below cutoff 7.01; Branch ECE not in allowed list,Excluded
69,1,69,False,Has a prior offer; drive excludes already-placed students,Excluded
70,1,70,False,2 backlogs exceeds max 1,Excluded
71,1,71,True,Meets all eligibility criteria,Eligible
72,1,72,True,Meets all eligibility criteria,Eligible
73,1,73,False,CGPA 6.62 below cutoff 7.01,Excluded
74,1,74,False,2 backlogs exceeds max 1,Excluded
75,1,75,False,2 backlogs exceeds max 1,Excluded
76,1,76,False,CGPA 6.99 below cutoff 7.01; Branch CIVIL not in allowed list; 2 backlogs exceeds max 1,Excluded
77,1,77,False,CGPA 6.7 below cutoff 7.01,Excluded
78,1,78,True,Meets all eligibility criteria,Eligible
79,1,79,True,Meets all eligibility criteria,Eligible
80,1,80,False,CGPA 6.98 below cutoff 7.01; Branch ECE not in allowed list,Excluded
81,1,81,False,3 backlogs exceeds max 1,Excluded
82,1,82,False,CGPA 6.02 below cutoff 7.01; 3 backlogs exceeds max 1,Excluded
83,1,83,False,CGPA 6.69 below cutoff 7.01,Excluded
84,1,84,False,CGPA 6.91 below cutoff 7.01,Excluded
85,1,85,False,Branch CIVIL not in allowed list; Has a prior offer; drive excludes already-placed students,Excluded
86,1,86,False,Branch CIVIL not in allowed list,Excluded
87,1,87,False,CGPA 6.39 below cutoff 7.01; Branch CIVIL not in allowed list,Excluded
88,1,88,False,Branch ECE not in allowed list,Excluded
89,1,89,False,Branch ECE not in allowed list,Excluded
90,1,90,False,Branch CIVIL not in allowed list; 2 backlogs exceeds max 1,Excluded
91,1,91,True,Meets all eligibility criteria,Eligible
92,1,92,False,CGPA 6.45 below cutoff 7.01,Excluded
93,1,93,True,Meets all eligibility criteria,Eligible
94,1,94,False,Branch CIVIL not in allowed list,Excluded
95,1,95,True,Meets all eligibility criteria,Eligible
96,1,96,False,CGPA 6.51 below cutoff 7.01,Excluded
97,1,97,True,Meets all eligibility criteria,Eligible
98,1,98,False,Branch CIVIL not in allowed list,Excluded
99,1,99,False,CGPA 6.6 below cutoff 7.01,Excluded
100,1,100,False,CGPA 6.48 below cutoff 7.01; Branch CIVIL not in allowed list,Excluded
101,1,101,False,2 backlogs exceeds max 1,Excluded
102,1,102,True,Meets all eligibility criteria,Eligible
103,1,103,False,Branch CIVIL not in allowed list,Excluded
104,1,104,True,Meets all eligibility criteria,Eligible
105,1,105,False,Branch CIVIL not in allowed list,Excluded
106,1,106,False,Branch ECE not in allowed list; Has a prior offer; drive excludes already-placed students,Excluded
107,1,107,False,CGPA 6.79 below cutoff 7.01; Branch ECE not in allowed list; Has a prior offer; drive excludes already-placed students,Excluded
108,1,108,False,CGPA 6.18 below cutoff 7.01,Excluded
109,1,109,False,Has a prior offer; drive excludes already-placed students,Excluded
110,1,110,False,Has a prior offer; drive excludes already-placed students,Excluded
111,1,111,True,Meets all eligibility criteria,Eligible
112,1,112,False,CGPA 6.84 below cutoff 7.01,Excluded
113,1,113,True,Meets all eligibility criteria,Eligible
114,1,114,False,Branch ECE not in allowed list,Excluded
115,1,115,True,Meets all eligibility criteria,Eligible
116,1,116,False,2 backlogs exceeds max 1,Excluded
117,1,117,False,CGPA 5.88 below cutoff 7.01; Has a prior offer; drive excludes already-placed students,Excluded
118,1,118,False,Branch ECE not in allowed list,Excluded
119,1,119,True,Meets all eligibility criteria,Eligible
120,1,120,True,Meets all eligibility criteria,Eligible
121,1,121,False,CGPA 5.81 below cutoff 7.01; 2 backlogs exceeds max 1,Excluded
122,1,122,False,CGPA 6.4 below cutoff 7.01,Excluded
123,1,123,True,Meets all eligibility criteria,Eligible
124,1,124,True,Meets all eligibility criteria,Eligible
125,1,125,False,Branch ECE not in allowed list,Excluded
126,1,126,True,Meets all eligibility criteria,Eligible
127,1,127,False,CGPA 6.39 below cutoff 7.01; Branch CIVIL not in allowed list; Has a prior offer; drive excludes already-placed students,Excluded
128,1,128,True,Meets all eligibility criteria,Eligible
129,1,129,True,Meets all eligibility criteria,Eligible
130,1,130,False,CGPA 5.81 below cutoff 7.01,Excluded
131,1,131,False,CGPA 5.97 below cutoff 7.01; Branch CIVIL not in allowed list; 3 backlogs exceeds max 1,Excluded
132,1,132,False,Branch CIVIL not in allowed list,Excluded
133,1,133,True,Meets all eligibility criteria,Eligible
134,1,134,True,Meets all eligibility criteria,Eligible
135,1,135,True,Meets all eligibility criteria,Eligible
136,1,136,False,Branch ECE not in allowed list,Excluded
137,1,137,False,Branch ECE not in allowed list,Excluded
138,1,138,False,CGPA 6.74 below cutoff 7.01,Excluded
139,1,139,True,Meets all eligibility criteria,Eligible
140,1,140,True,Meets all eligibility criteria,Eligible
141,1,141,False,Branch CIVIL not in allowed list,Excluded
142,1,142,False,Branch CIVIL not in allowed list,Excluded
143,1,143,False,Branch ECE not in allowed list,Excluded
144,1,144,False,CGPA 6.37 below cutoff 7.01,Excluded
145,1,145,False,CGPA 6.47 below cutoff 7.01; Branch CIVIL not in allowed list,Excluded
146,1,146,True,Meets all eligibility criteria,Eligible
147,1,147,False,Branch CIVIL not in allowed list,Excluded
148,1,148,False,CGPA 5.7 below cutoff 7.01; Branch ECE not in allowed list,Excluded
149,1,149,True,Meets all eligibility criteria,Eligible
150,1,150,True,Meets all eligibility criteria,Eligible
151,1,151,True,Meets all eligibility criteria,Eligible
152,1,152,True,Meets all eligibility criteria,Eligible
153,1,153,True,Meets all eligibility criteria,Eligible
154,1,154,True,Meets all eligibility criteria,Eligible
155,1,155,False,Branch ECE not in allowed list; 2 backlogs exceeds max 1,Excluded
156,1,156,False,CGPA 6.87 below cutoff 7.01; Has a prior offer; drive excludes already-placed students,Excluded
157,1,157,False,Branch ECE not in allowed list; Has a prior offer; drive excludes already-placed students,Excluded
158,1,158,False,CGPA 6.58 below cutoff 7.01,Excluded
159,1,159,True,Meets all eligibility criteria,Eligible
160,1,160,False,CGPA 6.77 below cutoff 7.01,Excluded
161,1,161,False,CGPA 6.69 below cutoff 7.01,Excluded
162,1,162,False,CGPA 6.39 below cutoff 7.01,Excluded
163,1,163,False,CGPA 6.7 below cutoff 7.01,Excluded
164,1,164,False,Branch ECE not in allowed list,Excluded
165,1,165,False,Branch ECE not in allowed list,Excluded
166,1,166,True,Meets all eligibility criteria,Eligible
167,1,167,False,CGPA 6.63 below cutoff 7.01; Branch CIVIL not in allowed list,Excluded
168,1,168,False,CGPA 5.59 below cutoff 7.01; Branch ECE not in allowed list; Has a prior offer; drive excludes already-placed students,Excluded
169,1,169,False,Branch CIVIL not in allowed list,Excluded
170,1,170,False,CGPA 6.32 below cutoff 7.01; Branch CIVIL not in allowed list,Excluded
171,1,171,False,Branch ECE not in allowed list; Has a prior offer; drive excludes already-placed students,Excluded
172,1,172,False,CGPA 6.22 below cutoff 7.01,Excluded
173,1,173,False,Has a prior offer; drive excludes already-placed students,Excluded
174,1,174,False,CGPA 6.64 below cutoff 7.01,Excluded
175,1,175,False,CGPA 5.51 below cutoff 7.01; Has a prior offer; drive excludes already-placed students,Excluded
176,1,176,True,Meets all eligibility criteria,Eligible
177,1,177,False,CGPA 5.73 below cutoff 7.01,Excluded
178,1,178,False,Branch CIVIL not in allowed list,Excluded
179,1,179,True,Meets all eligibility criteria,Eligible
180,1,180,False,CGPA 6.51 below cutoff 7.01,Excluded
181,1,181,False,Branch CIVIL not in allowed list,Excluded
182,1,182,False,CGPA 6.73 below cutoff 7.01,Excluded
183,1,183,False,CGPA 6.15 below cutoff 7.01,Excluded
184,1,184,False,CGPA 6.11 below cutoff 7.01,Excluded
185,1,185,False,Branch ECE not in allowed list,Excluded
186,1,186,False,3 backlogs exceeds max 1,Excluded
187,1,187,True,Meets all eligibility criteria,Eligible
188,1,188,False,CGPA 6.95 below cutoff 7.01; Branch CIVIL not in allowed list,Excluded
189,1,189,False,CGPA 6.55 below cutoff 7.01,Excluded
190,1,190,True,Meets all eligibility criteria,Eligible
191,1,191,True,Meets all eligibility criteria,Eligible
192,1,192,True,Meets all eligibility criteria,Eligible
193,1,193,True,Meets all eligibility criteria,Eligible
194,1,194,False,CGPA 5.84 below cutoff 7.01; Branch ECE not in allowed list,Excluded
195,1,195,False,Branch ECE not in allowed list,Excluded
196,1,196,False,Branch CIVIL not in allowed list,Excluded
197,1,197,False,CGPA 5.66 below cutoff 7.01; Branch CIVIL not in allowed list,Excluded
198,1,198,True,Meets all eligibility criteria,Eligible
199,1,199,True,Meets all eligibility criteria,Eligible
200,1,200,False,CGPA 5.63 below cutoff 7.01,Excluded
201,1,201,True,Meets all eligibility criteria,Eligible
202,1,202,False,CGPA 6.31 below cutoff 7.01,Excluded
203,1,203,False,CGPA 6.58 below cutoff 7.01; 2 backlogs exceeds max 1,Excluded
204,1,204,False,CGPA 6.64 below cutoff 7.01,Excluded
205,1,205,True,Meets all eligibility criteria,Eligible
206,1,206,False,CGPA 6.85 below cutoff 7.01; Branch CIVIL not in allowed list; 3 backlogs exceeds max 1,Excluded
207,1,207,False,CGPA 6.86 below cutoff 7.01; 3 backlogs exceeds max 1,Excluded
208,1,208,False,Branch CIVIL not in allowed list; Has a prior offer; drive excludes already-placed students,Excluded
209,1,209,True,Meets all eligibility criteria,Eligible
210,1,210,False,3 backlogs exceeds max 1,Excluded
211,1,211,True,Meets all eligibility criteria,Eligible
212,1,212,False,CGPA 6.49 below cutoff 7.01; Branch ECE not in allowed list,Excluded
213,1,213,False,Has a prior offer; drive excludes already-placed students,Excluded
214,1,214,True,Meets all eligibility criteria,Eligible
215,1,215,False,Branch ECE not in allowed list,Excluded
216,1,216,False,CGPA 6.29 below cutoff 7.01,Excluded
217,1,217,False,Branch ECE not in allowed list,Excluded
218,1,218,False,CGPA 6.83 below cutoff 7.01,Excluded
219,1,219,False,CGPA 6.13 below cutoff 7.01; Branch CIVIL not in allowed list; 3 backlogs exceeds max 1,Excluded
220,1,220,False,Has a prior offer; drive excludes already-placed students,Excluded
221,1,221,True,Meets all eligibility criteria,Eligible
222,1,222,True,Meets all eligibility criteria,Eligible
223,1,223,False,CGPA 5.99 below cutoff 7.01,Excluded
224,1,224,False,2 backlogs exceeds max 1; Has a prior offer; drive excludes already-placed students,Excluded
225,1,225,False,Branch ECE not in allowed list; 2 backlogs exceeds max 1,Excluded
226,1,226,False,CGPA 6.13 below cutoff 7.01; Branch ECE not in allowed list; 2 backlogs exceeds max 1; Has a prior offer; drive excludes already-placed students,Excluded
227,1,227,False,CGPA 6.56 below cutoff 7.01,Excluded
228,1,228,True,Meets all eligibility criteria,Eligible
229,1,229,False,Branch CIVIL not in allowed list; 2 backlogs exceeds max 1,Excluded
230,1,230,False,Branch ECE not in allowed list; 2 backlogs exceeds max 1,Excluded
231,1,231,False,CGPA 6.48 below cutoff 7.01; Has a prior offer; drive excludes already-placed students,Excluded
232,1,232,False,Branch CIVIL not in allowed list; Has a prior offer; drive excludes already-placed students,Excluded
233,1,233,False,CGPA 6.74 below cutoff 7.01; 3 backlogs exceeds max 1,Excluded
234,1,234,True,Meets all eligibility criteria,Eligible
235,1,235,False,CGPA 6.6 below cutoff 7.01; Has a prior offer; drive excludes already-placed students,Excluded
236,1,236,True,Meets all eligibility criteria,Eligible
237,1,237,False,CGPA 6.16 below cutoff 7.01; 2 backlogs exceeds max 1,Excluded
238,1,238,False,CGPA 6.15 below cutoff 7.01; Branch ECE not in allowed list; Has a prior offer; drive excludes already-placed students,Excluded
239,1,239,False,Branch ECE not in allowed list,Excluded
240,1,240,False,CGPA 5.57 below cutoff 7.01,Excluded
241,1,241,False,CGPA 6.01 below cutoff 7.01,Excluded
242,1,242,False,CGPA 5.99 below cutoff 7.01,Excluded
243,1,243,False,Branch ECE not in allowed list,Excluded
244,1,244,False,CGPA 5.64 below cutoff 7.01; 3 backlogs exceeds max 1,Excluded
245,1,245,False,2 backlogs exceeds max 1,Excluded
