id,entity_type,entity_id,description,status
1,eligibility_result,393,Borderline eligibility for student 393 on drive 1: Meets all eligibility criteria,Open
2,eligibility_result,495,Borderline eligibility for student 495 on drive 1: Meets all eligibility criteria,Resolved
3,eligibility_result,520,Borderline eligibility for student 20 on drive 2: Meets all eligibility criteria,Resolved
4,eligibility_result,529,Borderline eligibility for student 29 on drive 2: Meets all eligibility criteria,Resolved
5,eligibility_result,571,Borderline eligibility for student 71 on drive 2: Meets all eligibility criteria,Open
6,eligibility_result,634,Borderline eligibility for student 134 on drive 2: Meets all eligibility criteria,Resolved
7,eligibility_result,798,Borderline eligibility for student 298 on drive 2: Meets all eligibility criteria,Open
8,eligibility_result,897,Borderline eligibility for student 397 on drive 2: Meets all eligibility criteria,Open
9,eligibility_result,939,Borderline eligibility for student 439 on drive 2: Meets all eligibility criteria,Open
10,eligibility_result,963,Borderline eligibility for student 463 on drive 2: Meets all eligibility criteria,Open
11,eligibility_result,1015,Borderline eligibility for student 15 on drive 3: Meets all eligibility criteria,Resolved
12,eligibility_result,1087,Borderline eligibility for student 87 on drive 3: Meets all eligibility criteria,Resolved
13,eligibility_result,1092,Borderline eligibility for student 92 on drive 3: Meets all eligibility criteria,Resolved
14,eligibility_result,1096,Borderline eligibility for student 96 on drive 3: Meets all eligibility criteria,Resolved
15,eligibility_result,1100,Borderline eligibility for student 100 on drive 3: Meets all eligibility criteria,Open
16,eligibility_result,1122,Borderline eligibility for student 122 on drive 3: Meets all eligibility criteria,Resolved
17,eligibility_result,1145,Borderline eligibility for student 145 on drive 3: Meets all eligibility criteria,Open
18,eligibility_result,1162,Borderline eligibility for student 162 on drive 3: Meets all eligibility criteria,Open
19,eligibility_result,1180,Borderline eligibility for student 180 on drive 3: Meets all eligibility criteria,Open
20,eligibility_result,1212,Borderline eligibility for student 212 on drive 3: Meets all eligibility criteria,Resolved
21,eligibility_result,1304,Borderline eligibility for student 304 on drive 3: Meets all eligibility criteria,Resolved
22,eligibility_result,1369,Borderline eligibility for student 369 on drive 3: Meets all eligibility criteria,Open
23,eligibility_result,1390,Borderline eligibility for student 390 on drive 3: Meets all eligibility criteria,Resolved
24,eligibility_result,1438,Borderline eligibility for student 438 on drive 3: Meets all eligibility criteria,Resolved
25,eligibility_result,1443,Borderline eligibility for student 443 on drive 3: Meets all eligibility criteria,Open
26,eligibility_result,1461,Borderline eligibility for student 461 on drive 3: Meets all eligibility criteria,Resolved
27,eligibility_result,1514,Borderline eligibility for student 14 on drive 4: Meets all eligibility criteria,Open
28,eligibility_result,1526,Borderline eligibility for student 26 on drive 4: Meets all eligibility criteria,Open
29,eligibility_result,1557,Borderline eligibility for student 57 on drive 4: Meets all eligibility criteria,Open
30,eligibility_result,1573,Borderline eligibility for student 73 on drive 4: Meets all eligibility criteria,Open
31,eligibility_result,1638,Borderline eligibility for student 138 on drive 4: Meets all eligibility criteria,Resolved
32,eligibility_result,1661,Borderline eligibility for student 161 on drive 4: Meets all eligibility criteria,Resolved
33,eligibility_result,1814,Borderline eligibility for student 314 on drive 4: Meets all eligibility criteria,Open
34,eligibility_result,1855,Borderline eligibility for student 355 on drive 4: Meets all eligibility criteria,Open
35,eligibility_result,1870,Borderline eligibility for student 370 on drive 4: Meets all eligibility criteria,Resolved
36,eligibility_result,1933,Borderline eligibility for student 433 on drive 4: Meets all eligibility criteria,Open
37,eligibility_result,2023,Borderline eligibility for student 23 on drive 5: Meets all eligibility criteria,Resolved
38,eligibility_result,2048,Borderline eligibility for student 48 on drive 5: Meets all eligibility criteria,Resolved
39,eligibility_result,2097,Borderline eligibility for student 97 on drive 5: Meets all eligibility criteria,Open
40,eligibility_result,2102,Borderline eligibility for student 102 on drive 5: Meets all eligibility criteria,Open
41,candidate_match,1,Low-confidence match (34.18) for student 2 on drive 1,Resolved
