id,action,entity,entity_id,details,timestamp
1,reject_match,candidate_match,325,TPO performed 'reject_match' on candidate_match,2026-08-01T04:58:27.455882
2,reject_match,eligibility_result,182,TPO performed 'reject_match' on eligibility_result,2026-07-13T22:58:27.455914
3,override_eligibility,exception,303,TPO performed 'override_eligibility' on exception,2026-07-26T08:58:27.455928
4,edit_job_drive,job_drive,99,TPO performed 'edit_job_drive' on job_drive,2026-07-20T05:58:27.455938
5,resolve_exception,eligibility_result,251,TPO performed 'resolve_exception' on eligibility_result,2026-08-01T08:58:27.455948
6,override_eligibility,candidate_match,359,TPO performed 'override_eligibility' on candidate_match,2026-08-02T05:58:27.455957
7,confirm_schedule,interview,173,TPO performed 'confirm_schedule' on interview,2026-08-19T05:58:27.455967
8,reject_match,interview,338,TPO performed 'reject_match' on interview,2026-08-16T03:58:27.455983
9,resolve_exception,eligibility_result,67,TPO performed 'resolve_exception' on eligibility_result,2026-07-13T13:58:27.455995
10,reject_match,exception,10,TPO performed 'reject_match' on exception,2026-08-02T01:58:27.456012
11,approve_shortlist,interview,195,TPO performed 'approve_shortlist' on interview,2026-07-28T12:58:27.456025
12,reject_match,job_drive,357,TPO performed 'reject_match' on job_drive,2026-07-28T03:58:27.456035
13,edit_job_drive,exception,218,TPO performed 'edit_job_drive' on exception,2026-07-25T15:58:27.456045
14,edit_job_drive,candidate_match,178,TPO performed 'edit_job_drive' on candidate_match,2026-08-04T20:58:27.456054
15,approve_shortlist,interview,145,TPO performed 'approve_shortlist' on interview,2026-08-04T11:58:27.456063
16,confirm_schedule,eligibility_result,342,TPO performed 'confirm_schedule' on eligibility_result,2026-07-31T21:58:27.456072
17,override_eligibility,eligibility_result,66,TPO performed 'override_eligibility' on eligibility_result,2026-08-15T06:58:27.456080
18,override_eligibility,candidate_match,192,TPO performed 'override_eligibility' on candidate_match,2026-08-17T09:58:27.456095
19,resolve_exception,candidate_match,399,TPO performed 'resolve_exception' on candidate_match,2026-08-16T11:58:27.456106
20,override_eligibility,eligibility_result,378,TPO performed 'override_eligibility' on eligibility_result,2026-07-30T18:58:27.456121
21,override_eligibility,candidate_match,299,TPO performed 'override_eligibility' on candidate_match,2026-07-11T23:58:27.456131
22,reject_match,job_drive,341,TPO performed 'reject_match' on job_drive,2026-08-14T18:58:27.456140
23,override_eligibility,eligibility_result,361,TPO performed 'override_eligibility' on eligibility_result,2026-08-13T07:58:27.456148
24,reject_match,eligibility_result,96,TPO performed 'reject_match' on eligibility_result,2026-08-15T15:58:27.456157
25,override_eligibility,eligibility_result,222,TPO performed 'override_eligibility' on eligibility_result,2026-07-09T06:58:27.456165
26,approve_shortlist,eligibility_result,368,TPO performed 'approve_shortlist' on eligibility_result,2026-08-16T01:58:27.456173
27,edit_job_drive,exception,99,TPO performed 'edit_job_drive' on exception,2026-07-22T07:58:27.456182
28,reject_match,interview,310,TPO performed 'reject_match' on interview,2026-07-07T08:58:27.456190
29,confirm_schedule,job_drive,375,TPO performed 'confirm_schedule' on job_drive,2026-07-08T19:58:27.456198
30,override_eligibility,interview,95,TPO performed 'override_eligibility' on interview,2026-07-20T13:58:27.456207
31,override_eligibility,candidate_match,102,TPO performed 'override_eligibility' on candidate_match,2026-08-05T09:58:27.456215
32,resolve_exception,exception,97,TPO performed 'resolve_exception' on exception,2026-07-08T10:58:27.456223
33,reject_match,eligibility_result,97,TPO performed 'reject_match' on eligibility_result,2026-08-10T03:58:27.456232
