id,student_id,drive_id,status,offer_date
1,146,1,Accepted,2026-08-18T03:58:27.432681
2,275,2,Offered,2026-08-15T16:58:27.432786
3,151,2,Accepted,2026-08-11T18:58:27.432831
4,483,3,Declined,2026-08-14T18:58:27.432860
5,9,4,Accepted,2026-08-20T12:58:27.432887
6,321,4,Accepted,2026-08-14T04:58:27.432907
7,123,4,Declined,2026-08-21T07:58:27.432926
8,336,5,Accepted,2026-08-19T00:58:27.432954
9,321,6,Offered,2026-08-19T18:58:27.433002
10,22,6,Accepted,2026-08-21T06:58:27.433026
11,278,7,Accepted,2026-08-12T19:58:27.433066
12,372,7,Accepted,2026-08-18T12:58:27.433088
13,143,7,Offered,2026-08-19T04:58:27.433097
14,445,7,Accepted,2026-08-11T06:58:27.433104
15,234,9,Declined,2026-08-17T22:58:27.433120
16,353,10,Declined,2026-08-15T15:58:27.433143
17,152,10,Accepted,2026-08-14T15:58:27.433155
